Time [ms], Elem0
6964, 3.85138
6994, 3.8381
7024, 3.82482
7024, 3.82482
7024, 3.82482
7054, 3.82482
7084, 3.82482
7114, 3.82482
7144, 3.82482
7174, 3.82482
7204, 2.36206
7234, 1.53617
7264, 0.955319
7294, 0.512904
7324, 0.242954
7354, 0.10798
7384, 0.0539899
7414, 0.0269949
7444, 0.0134975
7474, 0.0134975
7504, 0.0134975
7534, 0.0134975
7534, 0.0134975
7534, 0.0134975
7564, 0.0134975
7594, 0.0134975
7624, 0.0134975
7654, 0.0134975
7684, 0.0134975
7714, 0.310442
7744, 0.539899
7774, 0.741542
7804, 0.96868
7834, 1.1961
7864, 1.41891
7894, 1.66517
7924, 1.91143
7954, 2.13423
7984, 2.31361
8014, 2.45896
8044, 2.59221
8044, 2.59221
8044, 2.59221
8074, 2.68911
8104, 2.79813
8134, 2.87081
8164, 2.91926
8194, 3.29477
8224, 3.50609
8254, 3.62561
8284, 3.69202
8314, 3.73186
8344, 3.75842
8374, 3.7717
8404, 3.78498
8434, 3.78498
8464, 3.79826
8494, 3.81154
8524, 3.81154
8554, 3.81154
8554, 3.81154
8554, 3.81154
8584, 3.81154
8614, 3.81154
8644, 3.82482
8674, 3.82482
8704, 3.87795
8734, 3.90451
8764, 3.91779
8794, 3.91779
8824, 3.91779
8854, 3.91779
8884, 3.91779
8914, 3.91779
8944, 3.90451
8974, 3.90451
9004, 3.90451
9034, 3.90451
9064, 3.89123
9064, 3.89123
9064, 3.89123
9094, 3.89123
9124, 3.87795
9154, 3.87795
9184, 3.87795
9214, 3.89123
9244, 3.90451
9274, 3.90451
9304, 3.90451
9334, 3.91779
9364, 3.93107
9394, 3.95763
9424, 3.97091
9454, 3.98419
9484, 3.98419
9514, 3.98419
9544, 3.98419
9574, 3.98419
9574, 3.98419
9574, 3.98419
9604, 3.97091
9634, 3.97091
9664, 3.97091
9694, 3.98419
9724, 3.99747
9754, 3.99747
9784, 3.99747
9814, 3.99747
9844, 3.99747
9874, 3.99747
9904, 3.99747
9934, 3.98419
9964, 3.97091
9994, 3.93107
10024, 3.86467
10054, 3.78498
10084, 3.65218
10084, 3.65218
10084, 3.65218
10114, 3.45297
10144, 3.19786
10174, 2.91926
10204, 2.61643
10234, 1.372
10264, 0.701459
10294, 0.350934
10324, 0.175467
10354, 0.0809848
10384, 0.0404924
10414, 0.0134975
10444, 0
10474, 0
10504, 0
10534, 0
10564, 0
10594, 0
10594, 0
10594, 0
10624, 0
10654, 0
10684, 0
10714, 0
10744, 1.5479
10774, 2.26516
10804, 2.65277
10834, 2.89504
10864, 3.08884
10894, 3.24631
10924, 3.34672
10954, 3.41312
10984, 3.49281
11014, 3.55921
11044, 3.61233
11074, 3.66546
11104, 3.71858
11104, 3.71858
11104, 3.71858
11134, 3.7717
11164, 3.81154
11194, 3.8381
11224, 3.89123
11254, 4.09044
11284, 4.19668
11314, 4.23652
11344, 4.2498
11374, 4.26308
11404, 4.26308
11434, 4.27636
11464, 4.27636
11494, 4.28964
11524, 4.28964
11554, 4.30293
11584, 4.30293
11614, 4.30293
11614, 4.30293
11614, 4.30293
11644, 4.30293
11674, 4.30293
11704, 4.31621
11734, 4.30293
11764, 4.23652
11794, 4.19668
11824, 4.17012
11854, 4.13028
11884, 4.07716
11914, 4.02403
11944, 3.95763
11974, 3.87795
12004, 3.79826
12034, 3.74514
12064, 3.71858
12094, 3.7053
12124, 3.7053
12124, 3.7053
12124, 3.7053
12154, 3.71858
12184, 3.71858
12214, 3.71858
12244, 3.73186
12274, 3.74514
12304, 3.74514
12334, 3.74514
12364, 3.75842
12394, 3.75842
12424, 3.75842
12454, 3.75842
12484, 3.7717
12514, 3.79826
12544, 3.82482
12574, 3.8381
12604, 3.85138
12634, 3.86467
12634, 3.86467
12634, 3.86467
12664, 3.86467
12694, 3.86467
12724, 3.87795
12754, 3.87795
12784, 3.86467
12814, 3.85138
12844, 3.85138
12874, 3.85138
12904, 3.85138
12934, 3.85138
12964, 3.85138
12994, 3.85138
13024, 3.85138
13054, 3.85138
13084, 3.85138
13114, 3.86467
13144, 3.86467
13144, 3.86467
13144, 3.86467
13174, 3.86467
13204, 3.86467
13234, 3.86467
13264, 3.86467
13294, 3.8381
13324, 3.82482
13354, 3.81154
13384, 3.81154
13414, 3.81154
13444, 3.81154
13474, 3.79826
13504, 3.78498
13534, 3.7717
13564, 3.7717
13594, 3.7717
13624, 3.7717
13654, 3.7717
13654, 3.7717
