Time [ms], Elem0
6822, -0.0134975
6852, -0.0134975
6882, -0.0134975
6912, -0.0134975
6942, -0.0134975
6972, -0.0134975
7002, -0.0134975
7032, -0.0134975
7062, -0.0134975
7092, -0.0134975
7122, -0.0134975
7152, -0.0134975
7182, -0.0134975
7212, -0.0134975
7242, -0.0134975
7272, -0.0134975
7272, -0.0134975
7272, -0.0134975
7302, -0.0134975
7332, -0.0134975
7362, -0.0134975
7392, -0.0134975
7422, -0.0134975
7452, -0.0134975
7482, -0.0134975
7512, -0.0134975
7542, -0.0134975
7572, -0.0134975
7602, -0.0134975
7632, -0.0134975
7662, -0.0134975
7692, -0.0134975
7722, -0.0134975
7752, -0.0134975
7782, -0.0134975
7782, -0.0134975
7782, -0.0134975
7812, -0.0134975
7842, -0.0134975
7872, -0.0134975
7902, -0.0134975
7932, -0.0134975
7962, -0.0134975
7992, -0.0134975
8023, -0.0134975
8053, -0.0134975
8083, -0.0134975
8112, -0.0134975
8143, -0.0134975
8172, -0.0134975
8203, -0.0134975
8233, -0.0134975
8262, -0.0134975
8292, -0.0134975
8292, -0.0134975
8292, -0.0134975
8322, -0.0134975
8352, -0.0134975
8382, -0.0134975
8412, -0.0134975
8442, -0.0134975
8473, -0.0134975
8503, -0.0134975
8533, -0.0134975
8563, -0.0134975
8593, -0.0134975
8623, -0.0134975
8653, -0.0134975
8683, -0.0134975
8713, 0
8743, 0
8773, 0
8803, 0
8803, 0
8803, 0
8833, 0
8863, 0
8893, 0
8923, 0
8953, 0
8983, 0
9013, 0
9043, 0
9073, 0
9103, 0
9133, -0.0134975
9163, -0.0134975
9193, -0.0134975
9223, -0.0134975
9253, -0.0134975
9283, -0.0134975
9313, -0.0134975
9343, -0.0134975
9373, -0.0134975
9403, -0.0134975
9433, -0.0134975
9433, -0.0134975
9433, -0.0134975
9463, -0.0134975
9493, -0.0134975
9523, -0.0134975
9553, -0.0134975
9583, -0.0134975
9613, -0.0134975
9643, -0.0134975
9673, -0.0134975
9703, -0.0134975
9733, -0.0134975
9763, 0
9793, 0
9823, 0
9853, 0
9883, 0
9913, 0
9943, 0
9943, 0
9943, 0
9973, -0.0134975
10003, -0.0134975
10033, -0.0134975
10063, -0.0134975
10093, -0.0134975
10123, -0.0134975
10153, -0.0134975
10183, -0.0134975
10213, -0.0134975
10243, 0
10273, 0
10303, 0
10333, 0
10363, 0
10393, 0
10423, 0
10453, -0.0134975
10453, -0.0134975
10453, -0.0134975
10483, -0.0134975
10513, -0.0134975
10543, -0.0134975
10573, -0.0134975
10603, -0.0134975
10633, -0.0134975
10663, -0.0134975
10693, -0.0134975
10723, -0.0134975
10753, -0.0134975
10783, -0.0134975
10813, 0
10843, 0
10873, 0
10903, 0
10933, 0
10963, 0
10963, 0
10963, 0
10993, 0
11023, 0
11053, 0
11083, 0
11113, 0
11143, 0
11173, -0.0134975
11203, -0.0134975
11233, -0.0134975
11263, -0.0134975
11293, -0.0134975
11323, -0.0134975
11353, -0.0134975
11383, -0.0134975
11413, -0.0134975
11443, -0.0134975
11473, -0.0134975
11473, -0.0134975
11473, -0.0134975
11503, 0
11533, 0
11563, 0
11593, 0
11623, -0.0134975
11653, -0.0134975
11683, -0.0134975
11713, -0.0134975
11743, -0.0134975
11773, -0.0134975
11803, -0.0134975
11833, 0
11863, 0
11893, 0
11923, 0
11953, 0
11983, 0
11983, 0
11983, 0
12013, 0
12043, -0.0134975
12073, -0.0134975
12103, -0.0134975
12133, -0.0134975
12163, -0.0134975
12193, -0.0134975
12223, -0.0134975
12253, -0.0134975
12283, -0.0134975
12313, -0.0134975
12343, -0.0134975
12373, -0.0134975
12403, -0.0134975
12433, -0.0134975
12463, -0.0134975
12493, -0.0134975
12493, -0.0134975
12493, -0.0134975
12523, -0.0134975
12553, -0.0134975
12583, -0.0134975
12613, -0.0134975
12643, -0.0134975
12673, -0.0134975
12703, -0.0134975
12733, -0.0134975
12763, -0.0134975
12793, -0.0134975
12823, -0.0134975
12853, -0.0134975
12883, -0.0134975
12913, -0.0134975
12943, -0.0134975
12973, -0.0134975
13003, -0.0134975
13003, -0.0134975
13003, -0.0134975
13033, -0.0134975
13063, -0.0134975
13093, -0.0134975
13123, -0.0134975
13153, -0.0134975
13183, -0.0134975
13213, -0.0134975
13243, -0.0134975
13273, -0.0134975
13303, -0.0134975
13333, -0.0134975
13363, -0.0134975
13393, -0.0134975
13423, -0.0134975
13453, -0.0134975
13483, -0.0134975
13513, -0.0134975
13513, -0.0134975
13513, -0.0134975
13543, -0.0134975
13573, -0.0134975
13603, -0.0134975
13633, -0.0134975
13663, -0.0134975
13693, -0.0134975
13723, -0.0134975
13753, -0.0134975
13783, -0.0134975
13813, -0.0134975
13843, -0.0134975
13873, -0.0134975
13903, -0.0134975
13933, -0.0134975
13963, -0.0134975
13993, -0.0134975
14023, -0.0134975
14023, -0.0134975
